#ZVView-data-copy:  22-Jun-2021 19:38:43
#=======================================
#
#name:   ENDF/B-VI: HE-3(D,P)HE-4
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  847
#data...
#            X            Y
#          MeV        barns
        0.2308     0.284396 
        0.2425     0.325491 
        0.2564     0.377159 
        0.2763     0.454899 
         0.307      0.57626 
        0.3236     0.637935 
        0.3379     0.686298 
        0.3511      0.72567 
        0.3638     0.757868 
        0.3763     0.783541 
        0.3888     0.802946 
        0.4015     0.816212 
        0.4146     0.823319 
        0.4284     0.824109 
        0.4432     0.818178 
        0.4595     0.804816 
        0.4782     0.782583 
        0.5011     0.748361 
        0.5364     0.687722 
        0.5899     0.593612 
        0.6227     0.540166 
        0.6523     0.496093 
        0.6807      0.45771 
        0.7087     0.423499 
        0.7368     0.392547 
        0.7653     0.364307 
        0.7944     0.338413 
      0.820925     0.317232 
      0.847082     0.298665 
      0.874983     0.281183 
      0.902883     0.265856 
      0.932527     0.251655 
      0.963916     0.238638 
      0.996753     0.226874 
       1.03255     0.215876 
       1.07059     0.205953 
        1.1131     0.196585 
       1.16457     0.186987 
       1.24542     0.173861 
       1.32711     0.161925 
       1.40499      0.15177 
       1.48348     0.142683 
       1.56572     0.134297 
       1.64795     0.126962 
       1.73152     0.120471 
       1.82112      0.11446 
       1.91478     0.109079 
       2.01659     0.104093 
       2.13314    0.0992349 
       2.26119     0.094661 
       2.39457    0.0906175 
       2.53863     0.086963 
       2.69421    0.0837054 
       2.86614    0.0807814 
       3.04762    0.0783371 
       3.25776    0.0761586 
       3.51565    0.0741498 
       3.92685    0.0716747 
       4.37113    0.0695891 
       4.86434     0.067852 
       5.99751    0.0647142 
       6.53163    0.0627132 
       7.20359    0.0596345 
       8.92857    0.0510177 
       9.61449    0.0479105 
       10.2635    0.0453142 
       10.9589    0.0428723 
       11.7007    0.0406011 
       12.4888    0.0385004 
        13.416    0.0363465 
       14.6146    0.0338948 
       15.8708    0.0315959 
       17.1269    0.0295468 
       18.3831    0.0277267 
       19.6392     0.026115 
       20.9739    0.0246077 
       22.3202    0.0232767 
       23.7753    0.0220212 
       25.3921    0.0208066 
       27.3323    0.0195319 
            30    0.0179546 
//
#-------------------------------------------------------------------------------
